EVID ID,Filename,Date,Category,Subject,Topics,Importance,Parties,Summary,File Size (KB),Modified
EVID-001,241016-residential-rental-agreement-1803-243-franklin-st.pdf,16/10/2024,Tenancy Agreement,residential-rental-agreement-1803-243-franklin-st,Rent & Payment,Medium,Franklin St Property,bnbculture pty ltd,606.7,14/10/2025
EVID-002,250207 - Welcome to Areal Property  Your New Property Management Team - bNDbxXBbQNSd_b8rglR2pg@geopod-ismtpd-9.pdf,07/02/2025,Property Management,250207 - Welcome to Areal Property  Your New Property Management Team,Tenancy Termination; Rent & Payment; Repairs & Maintenance,High,Camberwell Rd Property; Property Manager/Areal,subject: message-id:welcome to areal property – your new property management tea,89.8,31/10/2025
EVID-003,250207-Emergency Maintenance Trades Contact List Hawthorn.pdf,07/02/2025,Water Damage & Leak,Emergency Maintenance Trades Contact List Hawthorn,Water & Leak; Rent & Payment; Property Access,High,Property Manager/Areal,emergency maintenance  & urgent repairs,184.1,07/02/2025
EVID-004,"250225 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000 - VvSmC2yFSZCtbt6d7NnvMw@geopod-ismtpd-7.pdf",25/02/2025,Receipt & Payment,"250225 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000",Rent & Payment,High,Property Manager/Areal; Franklin St Property,"subject: message-id:receipt of payment for 1803/243 franklin st, melbourne vic 3",77.3,31/10/2025
EVID-005,250225-Receipt # 85835.pdf,25/02/2025,Receipt & Payment,Receipt # 85835,Rent & Payment,Medium,Camberwell Rd Property; Property Manager/Areal; Franklin St Property,(h) 03 9818 8991,84.1,25/02/2025
EVID-006,250325 - Areal monthly after-hours trades list update - TdVM09MYTMK3NYfff3Ex7g@geopod-ismtpd-9.pdf,25/03/2025,Water Damage & Leak,250325 - Areal monthly after-hours trades list update,Water & Leak; Rent & Payment; Property Access,High,Property Manager/Areal,"subject: message-id:areal monthly after-hours trades list updatefrom: ""hilary ho",78.4,31/10/2025
EVID-007,"250325 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000 - rAeUl6dhT1Kyd4D9Bf1uPA@geopod-ismtpd-canary-0.pdf",25/03/2025,Receipt & Payment,"250325 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000",Rent & Payment,High,Property Manager/Areal; Franklin St Property,"subject: message-id:receipt of payment for 1803/243 franklin st, melbourne vic 3",77.8,31/10/2025
EVID-008,250325-Receipt # 87045.pdf,25/03/2025,Receipt & Payment,Receipt # 87045,Rent & Payment,Medium,Camberwell Rd Property; Property Manager/Areal; Franklin St Property,(h) 03 9818 8991,87.6,25/03/2025
EVID-009,250401 - Areal monthly after-hours trades list update - LLE5QLN0R5uOai57XEw_3g@geopod-ismtpd-0.pdf,01/04/2025,Water Damage & Leak,250401 - Areal monthly after-hours trades list update,Water & Leak; Rent & Payment; Property Access,High,Property Manager/Areal,"subject: message-id:areal monthly after-hours trades list updatefrom: ""hilary ho",78.6,31/10/2025
EVID-010,250402 - Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails - CAAV=8vuQy1pSm2ScC1ogch9EGCP0j-SKGhMosoqcUDhZHGiVaA@mail.gmail.com.pdf,02/04/2025,Maintenance Request,250402 - Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame,Repairs & Maintenance,High,Property Manager/Areal; Franklin St Property,subject:,116186.7,31/10/2025
EVID-011,250408 - Fwd_ Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails - CAAV=8vsVTzDNHuSWuYORhKTzLEO4wb3vL8nQACRTOJfb-eCe0g@mail.gmail.com.pdf,08/04/2025,Maintenance Request,250408 - Fwd_ Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed ,Rent & Payment; Repairs & Maintenance,High,Property Manager/Areal; Franklin St Property,subject:,116192.7,31/10/2025
EVID-012,250409 - Re_ Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed Frame with Exposed Nails - ME3PR01MB824149B5C4234EB5E6A31C66DAB42@ME3PR01MB8241.ausprd01.prod.outlook.com.pdf,09/04/2025,Maintenance Request,250409 - Re_ Non-Urgent Maintenance Request (1803_243 Franklin st)  Broken Bed F,Rent & Payment; Repairs & Maintenance,High,Camberwell Rd Property; Property Manager/Areal; Franklin St Property,subject: message-id:re: non-urgent maintenance request (1803/243 franklin st) – ,218.8,31/10/2025
EVID-013,250416 - Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803) - CAAV=8vswkBjs+XG=uSswFDXRj_rQpDgF+FzAATG2ttMBP2V3NQ@mail.gmail.com.pdf,16/04/2025,Water Damage & Leak,250416 - Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803),Water & Leak; Rent & Payment; Evidence,High,Camberwell Rd Property; Property Manager/Areal; Franklin St Property,subject:,212.0,31/10/2025
EVID-014,250416 - Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803) - ME3PR01MB8241FBF8DF5E327065E1A1ABDABD2@ME3PR01MB8241.ausprd01.prod.outlook.com.pdf,16/04/2025,Water Damage & Leak,250416 - Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803),Water & Leak; Rent & Payment; Evidence,High,Camberwell Rd Property; Property Manager/Areal; Franklin St Property,subject: message-id:re: urgent: water damage on bedroom wall (unit 1803)from: hi,206.6,31/10/2025
EVID-015,250416 - Urgent_ Water Damage on Bedroom Wall (Unit 1803) - CAAV=8vvZigwdNUxLOVCfHK69GhXfRTY1xxWoc3Xjv2d-Cm=h=g@mail.gmail.com.pdf,16/04/2025,Water Damage & Leak,250416 - Urgent_ Water Damage on Bedroom Wall (Unit 1803),Water & Leak; Evidence; Repairs & Maintenance,High,Property Manager/Areal; Franklin St Property,subject: message-id:urgent: water damage on bedroom wall (unit 1803)from: chawak,50809.5,31/10/2025
EVID-016,250420 - Automatic reply_ Urgent_ Water Damage on Bedroom Wall (Unit 1803) - c11f80d2d9e4469b8528334d20b3c4ce@ME3PR01MB8241.ausprd01.prod.outlook.com.pdf,20/04/2025,Property Management,250420 - Automatic reply_ Urgent_ Water Damage on Bedroom Wall (Unit 1803),Water & Leak; Rent & Payment; Repairs & Maintenance,High,Camberwell Rd Property; Property Manager/Areal; Franklin St Property,subject: message-id:automatic reply: urgent: water damage on bedroom wall (unit ,44.4,31/10/2025
EVID-017,250420 - Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803) - CAAV=8vvKRyv_a7aNhbgBu8oykp97_GS0DhmApYWHbfEzLjMtPA@mail.gmail.com.pdf,20/04/2025,Water Damage & Leak,250420 - Re_ Urgent_ Water Damage on Bedroom Wall (Unit 1803),Repairs & Maintenance; Water & Leak; Rent & Payment,High,Camberwell Rd Property; Property Manager/Areal; Franklin St Property,subject:,29762.6,31/10/2025
EVID-018,"250423 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000 - xPWIuD6PSe6QEk9BCXegkw@geopod-ismtpd-11.pdf",23/04/2025,Receipt & Payment,"250423 - Receipt of payment for 1803_243 Franklin St, Melbourne VIC 3000",Rent & Payment,High,Property Manager/Areal; Franklin St Property,"subject: message-id:receipt of payment for 1803/243 franklin st, melbourne vic 3",78.0,31/10/2025
